word;total;ge_std;co_std;male;female;unknown;ar;cl;co;es;mx;pe;ve
publicas;518;64.694;15.535;224;100;194;63;87;100;65;54;74;75
tatuaje;552;85.282;16.807;155;117;280;82;69;82;78;103;89;49
miren;942;68.826;47.377;361;235;346;162;119;179;42;128;134;178
ivan;594;89.011;62.283;265;97;232;76;77;221;81;52;37;50
tenias;609;66.189;29.189;234;127;248;139;65;54;103;92;92;64
aburrimiento;530;67.337;49.466;131;145;254;126;45;73;162;30;50;44
amado;880;58.960;72.718;266;253;361;71;227;121;65;94;72;230
reservas;1108;511.434;264.540;126;25;957;60;68;125;753;20;23;59
hermosos;1013;100.759;66.618;281;278;454;171;121;183;21;167;119;231
salvar;562;65.653;14.580;247;117;198;62;67;85;106;77;88;77
habeis;582;67.735;196.396;238;116;228;6;2;6;528;3;30;7
aprendiendo;790;57.143;35.310;268;204;318;48;87;153;119;117;125;141
google;2575;85.190;150.673;927;763;885;237;306;241;443;228;568;552
estados;924;164.776;77.756;467;138;319;83;78;139;77;161;94;292
puedes;7295;1072.232;494.708;2520;1318;3457;166;744;1015;1439;1130;1093;1708
polanco;599;35.346;212.843;159;217;223;0;9;19;1;568;2;0
nubes;654;81.265;21.094;286;128;240;67;120;94;122;83;75;93
xq;3734;393.773;357.248;1468;790;1476;965;306;287;236;174;933;833
puertas;971;139.937;64.766;425;164;382;74;127;162;264;84;103;157
envio;724;71.009;38.609;291;160;273;49;147;122;71;79;107;149
trae;1414;224.511;68.988;510;230;674;153;149;202;157;253;166;334
somos;10191;1129.102;353.811;3606;2178;4407;1434;1209;1455;1282;1212;1373;2226
#zaragoza;980;387.028;367.761;123;84;773;3;2;0;974;1;0;0
videos;1766;256.067;32.484;739;293;734;204;246;234;309;243;265;265
pedi;568;66.643;38.229;200;118;250;139;104;58;26;104;84;53
audifonos;520;61.501;52.864;217;103;200;7;112;105;7;93;142;54
planta;610;124.508;34.840;205;78;327;72;73;67;132;62;61;143
best;1891;103.616;105.990;731;524;636;121;274;286;288;431;339;152
coco;616;69.816;34.278;213;132;271;57;83;95;61;93;69;158
g;1527;204.470;44.371;621;273;633;212;173;181;225;211;309;216
control;1615;242.325;83.630;759;279;577;140;302;230;187;161;217;378
bonitos;705;73.614;60.923;192;193;320;25;61;110;181;168;119;41
velocidad;646;123.229;26.228;334;88;224;41;101;76;111;98;119;100
algunas;2122;188.726;36.853;786;492;844;315;261;301;307;298;373;267
haran;599;81.819;33.832;268;109;222;38;86;85;86;74;78;152
:@;541;8.505;33.205;189;180;172;46;102;105;17;98;83;90
vino;2883;288.314;146.270;1061;636;1186;676;515;368;326;382;398;218
@el_pais;1615;271.036;338.700;799;258;558;31;173;41;989;117;161;103
tenerte;883;103.326;42.928;204;272;407;154;51;191;137;112;117;121
hacia;4559;554.203;111.094;1929;889;1741;714;507;596;798;630;547;767
parque;7063;1123.648;604.144;3389;1159;2515;463;2066;1248;458;1344;1024;460
todos;43680;5499.703;1215.394;18224;8236;17220;6841;6187;6374;5371;4997;5349;8561
vosotros;936;104.933;295.283;411;202;323;13;8;32;802;1;58;22
deporte;1615;283.620;100.704;782;227;606;190;265;218;441;154;149;198
re;7535;1495.283;2206.620;1742;1558;4235;6073;414;352;111;193;303;89
man;1560;226.901;100.498;622;260;678;200;167;446;181;224;167;175
camara;1534;169.977;25.089;648;321;565;170;205;244;230;236;218;231
lpm;800;139.001;283.265;224;154;422;756;5;2;0;0;36;1
seamos;706;74.097;38.770;265;151;290;104;63;90;77;79;113;180
sirven;521;70.727;24.865;232;95;194;57;54;104;54;93;54;105
#siguemeytesigo;789;348.837;241.356;665;40;84;52;10;50;12;1;6;658
fa;871;70.010;44.836;289;221;361;62;126;141;188;159;73;122
person;2370;437.003;186.106;792;352;1226;606;104;263;407;170;537;283
productivo;639;111.503;47.144;324;101;214;69;50;67;59;152;76;166
faltan;2164;261.255;67.736;807;428;929;378;263;366;200;328;264;365
entera;856;97.767;26.694;312;177;367;124;107;133;167;79;128;118
memoria;1662;124.964;35.646;618;410;634;263;289;257;204;185;233;231
bendiga;3000;545.689;587.062;1112;407;1481;56;39;1313;20;186;132;1254
bailando;1243;86.864;47.374;435;319;489;263;178;162;152;123;216;149
pueden;5898;713.471;154.530;2497;1155;2246;782;713;941;654;812;879;1117
familia;10127;993.472;427.326;4025;2232;3870;1013;1586;2146;1317;1012;1226;1827
cualquiera;2111;230.261;99.284;784;444;883;488;197;365;246;225;309;281
escucho;1582;190.340;84.821;574;318;690;343;325;189;97;224;218;186
humo;1616;335.150;292.175;680;156;780;174;884;104;81;81;205;87
#cat;756;59.025;54.037;214;222;320;55;154;115;45;171;156;60
actividad;769;136.152;34.744;313;101;355;68;135;127;108;116;60;155
semanas;2037;197.454;75.807;793;451;793;318;384;164;355;309;283;224
pos;1057;120.799;178.164;437;214;406;17;127;74;119;541;141;38
aburrido;1236;244.369;64.812;618;142;476;276;137;158;110;154;261;140
drogas;595;86.726;33.262;259;99;237;96;48;71;61;81;87;151
pedido;702;95.849;26.361;263;127;312;100;94;66;138;82;133;89
apoyo;4036;517.728;363.451;1680;749;1607;186;541;909;410;421;343;1226
toy;799;103.732;65.316;296;151;352;156;239;72;65;71;127;69
personal;1852;224.781;77.021;827;380;645;174;237;226;325;196;307;387
ciencia;654;111.946;22.337;316;96;242;55;119;92;100;79;118;91
seccion;512;83.740;38.976;217;74;221;12;70;69;103;106;35;117
deseos;1113;137.292;95.530;486;219;408;69;88;313;91;174;114;264
snapchat;769;132.508;75.156;363;108;298;83;52;88;100;81;88;277
ganadora;504;84.481;35.313;240;75;189;39;58;106;125;38;46;92
maneras;645;17.521;48.189;232;197;216;45;83;86;109;58;191;73
vacio;893;82.924;25.442;342;202;349;160;85;147;120;129;143;109
marica;502;61.825;131.609;146;119;237;9;12;369;13;31;27;41
justo;3747;354.696;134.677;1484;841;1422;635;670;354;378;500;683;527
isidro;1768;260.792;506.842;774;291;703;138;111;24;60;21;1397;17
break;549;50.764;40.414;226;127;196;64;116;44;48;85;148;44
beneficios;631;85.582;44.979;251;112;268;44;92;80;84;55;93;183
les;21101;3166.939;870.493;9082;3386;8633;2282;2542;3635;2695;3573;1977;4397
fijo;710;50.003;64.925;263;179;268;68;57;81;118;16;174;196
contar;1324;156.941;43.114;516;261;547;225;134;202;258;154;163;188
#playa;989;166.458;105.321;513;188;288;147;173;58;354;40;87;130
resto;2163;338.368;116.996;1078;405;680;327;501;313;399;145;231;247
miercoles;4083;566.024;98.731;1598;715;1770;628;585;568;661;541;398;702
#amigos;1191;267.103;55.490;677;145;369;162;182;206;259;145;79;158
obra;2164;306.888;74.493;821;377;966;193;232;304;393;333;322;387
gps;570;216.197;104.730;435;26;109;15;106;25;14;79;305;26
irse;850;103.230;34.607;364;167;319;125;117;84;192;99;106;127
perros;1217;167.813;41.575;553;223;441;168;153;162;116;253;182;183
camaras;505;69.241;11.654;231;94;180;60;83;81;56;68;86;71
avenida;1368;291.614;238.939;563;126;679;87;725;107;43;105;91;210
entiende;1424;177.371;63.929;535;275;614;323;173;172;159;137;246;214
chavistas;756;128.487;259.804;317;104;335;1;19;11;9;3;16;697
stgo;641;62.011;232.653;259;143;239;3;619;0;0;2;17;0
base;1189;198.031;72.075;576;184;429;106;171;101;199;159;140;313
:-);2026;199.018;199.133;897;512;617;181;270;164;716;162;340;193
windows;707;246.903;65.737;517;55;135;39;54;176;69;210;94;65
relax;1195;132.666;56.320;499;248;448;80;248;167;229;135;160;176
hdp;926;97.986;192.849;374;196;356;554;72;26;17;16;80;161
aprendi;1088;77.164;39.187;351;292;445;150;107;181;102;183;206;159
internacional;4997;739.044;326.985;2347;880;1770;214;805;696;470;1107;1108;597
nadie;14185;1559.822;450.796;5067;3027;6091;2487;1424;2117;1721;1748;1981;2707
razones;1130;125.429;52.690;455;232;443;88;126;219;139;161;157;240
importante;5394;710.321;275.120;1988;1012;2394;619;552;914;1289;537;604;879
mision;1085;159.312;134.306;422;181;482;43;147;126;72;115;134;448
#look;511;187.324;84.087;86;40;385;48;27;22;245;10;38;121
#nikeplus;1856;476.733;442.289;1141;207;508;27;113;28;36;1252;163;237
campanya;3658;826.623;226.783;2103;465;1090;564;394;969;446;244;459;582
#felizdomingo;675;181.816;94.188;426;72;177;11;61;300;77;104;49;73
claro;8025;1079.980;325.731;3529;1461;3035;768;873;991;1574;986;1275;1558
interesa;1216;134.760;36.805;475;250;491;206;157;173;232;178;121;149
ps;1085;197.358;90.672;502;136;447;12;84;268;143;126;227;225
felicidad;5537;335.503;294.333;1759;1562;2216;683;613;1407;579;644;683;928
terremoto;524;92.425;91.321;275;93;156;37;278;36;40;16;76;41
#teatro;671;216.648;91.669;148;55;468;28;63;60;300;83;76;61
termina;2155;262.527;93.983;939;428;788;509;291;297;217;313;266;262
abrir;1260;130.227;30.616;458;275;527;164;143;168;223;179;162;221
ami;761;88.297;69.622;173;240;348;247;40;113;134;74;51;102
cover;1458;382.721;155.343;471;111;876;47;220;412;74;154;122;429
golazo;984;238.514;52.583;568;91;325;216;147;164;177;106;119;55
amistad;1873;154.946;161.037;656;456;761;204;113;613;181;246;268;248
dije;3416;473.435;235.498;1209;634;1573;953;424;359;222;535;565;358
penal;1113;232.058;75.739;600;136;377;253;186;141;45;132;249;107
pierdo;928;82.440;22.248;295;235;398;133;127;134;156;123;161;94
alumnos;955;175.004;76.969;404;117;434;73;205;34;190;236;140;77
daria;660;71.547;27.980;217;150;293;142;87;78;114;99;86;54
generacion;805;144.227;33.392;417;129;259;60;98;128;110;108;133;168
is;9842;1416.717;376.269;4295;1662;3885;1149;1752;1544;1568;1703;1447;679
#instasize;1272;189.581;140.081;629;255;388;20;217;317;68;28;279;343
firme;543;81.627;42.949;234;87;222;59;52;153;36;47;77;119
resumen;847;96.837;41.057;347;171;329;102;147;113;195;63;108;119
eterno;1285;52.080;88.720;405;392;488;242;168;140;144;126;106;359
valiente;723;80.666;59.483;283;148;292;48;50;103;135;61;111;215
valledupar;761;200.356;285.430;480;99;182;0;0;756;0;0;1;4
7;7448;1045.665;111.369;3002;1279;3167;914;1043;1172;1096;1217;940;1066
bienvenidos;799;98.637;59.221;287;159;353;94;124;139;231;78;52;81
pereira;726;294.647;234.996;114;33;579;4;33;636;1;10;16;26
beber;1021;152.677;62.574;370;175;476;43;94;156;150;194;150;234
girls;504;69.541;35.972;242;104;158;31;114;38;79;119;80;43
+;14813;1854.028;836.697;5700;2824;6289;1380;2008;1025;2996;2653;1582;3169
gabriela;531;55.109;57.421;181;120;230;66;192;45;13;88;43;84
posicion;622;121.919;28.145;323;80;219;61;61;97;84;75;103;141
f;4331;699.440;742.287;1906;639;1786;536;338;199;277;2273;195;513
produccion;1610;267.062;133.639;602;243;765;152;320;265;66;181;157;469
mueren;517;64.933;40.098;188;101;228;76;44;73;47;46;72;159
diosito;528;69.477;50.872;118;157;253;24;32;95;25;90;160;102
ti;19930;1980.339;1045.769;6893;4550;8487;938;2074;4021;2882;3215;3089;3711
futbol;5878;1331.878;284.034;3360;709;1809;1278;696;1160;787;590;849;518
beach;1142;144.195;78.099;516;229;397;73;113;290;249;161;131;125
pizza;2393;327.673;201.795;1017;421;955;259;320;244;197;775;386;212
pone;4039;489.085;218.027;1552;788;1699;1021;344;529;668;523;489;465
sierra;1312;565.969;329.240;1090;82;140;40;97;932;71;67;81;24
mar;4760;479.950;304.673;1995;1058;1707;635;1256;642;575;368;877;407
desayuno;2977;283.161;173.177;1106;670;1201;255;683;229;309;535;566;400
campeonato;782;186.613;44.507;429;60;293;152;102;52;125;52;148;151
18;3046;402.858;144.129;1202;553;1291;452;655;332;561;255;312;479
ex;3099;466.936;223.755;1408;510;1181;416;629;313;174;513;807;247
obvio;2648;257.954;255.961;865;634;1149;788;577;255;85;431;417;95
uso;1883;264.031;44.915;803;324;756;229;302;259;229;222;314;328
sorpresa;1504;148.379;55.983;587;330;587;125;200;223;309;213;245;189
cliente;874;139.145;37.936;434;156;284;52;163;109;137;128;163;122
direction;553;213.064;157.155;50;73;430;9;17;435;19;20;34;19
irme;1474;136.489;113.072;478;362;634;465;190;158;186;158;158;159
cont;623;135.975;141.431;357;175;91;11;41;45;58;28;32;408
salimos;794;83.429;62.026;279;175;340;238;66;76;131;70;135;78
regalo;4761;471.326;176.318;1763;1053;1945;465;965;833;580;631;542;745
demuestra;908;126.666;45.213;405;161;342;76;90;175;142;102;124;199
queridos;650;90.168;33.209;283;114;253;42;103;132;110;98;52;113
i'm;41381;6771.579;5857.165;21209;7938;12234;2592;7019;2046;2516;18156;7110;1942
cambia;1777;169.211;38.946;694;397;686;259;195;289;294;209;250;281
accion;1605;225.435;88.581;676;275;654;134;168;274;211;193;221;404
dime;1662;197.188;57.407;573;348;741;167;153;269;226;278;300;269
construir;598;106.256;48.428;318;113;167;66;56;152;64;44;57;159
doy;3596;377.107;184.235;1232;806;1558;899;321;481;546;424;426;499
gracioso;600;59.405;48.818;192;145;263;150;48;37;112;71;143;39
weon;889;168.654;291.061;288;132;469;15;786;26;1;2;49;10
siente;2783;232.005;116.600;993;670;1120;413;304;550;204;505;392;415
cagar;623;94.838;108.456;226;105;292;332;84;34;51;41;44;37
rescate;647;187.356;132.193;162;61;424;31;388;31;90;28;49;30
secreto;1481;187.215;36.304;641;283;557;150;210;230;218;178;251;244
burla;502;68.369;60.130;215;89;198;37;51;51;23;68;69;203
meta;1394;205.967;68.623;633;235;526;154;193;297;128;186;145;291
encantan;992;63.319;54.759;264;338;390;95;160;135;250;153;102;97
d;26755;1954.673;2229.127;11154;7532;8069;2922;3251;2131;3878;3392;2478;8703
oscuro;553;61.849;18.019;217;113;223;96;75;107;83;56;74;62
what;2351;228.758;128.619;969;528;854;184;287;288;422;484;488;198
pared;535;85.407;22.375;221;80;234;114;49;65;95;59;71;82
resaca;555;44.911;78.174;192;137;226;150;12;10;175;23;162;23
trampa;569;108.039;75.119;296;80;193;61;39;77;50;39;54;249
sentido;2684;306.389;58.497;1104;543;1037;302;310;409;450;404;372;437
dan;5625;566.072;103.429;2032;1247;2346;1013;754;796;748;753;706;855
hermanos;1991;326.169;118.969;958;313;720;206;219;293;188;278;268;539
espanya;4631;1077.423;1095.864;2751;680;1200;222;251;210;3141;171;230;406
corte;1637;232.840;84.007;730;284;623;328;367;151;250;185;178;178
ganando;862;156.059;41.958;414;113;335;147;74;151;134;82;89;185
unfollowed;1819;334.578;222.866;798;220;801;641;68;123;157;86;497;247
ilusion;1072;89.512;129.890;411;254;407;120;49;162;434;96;141;70
tome;1245;156.368;84.942;525;236;484;208;282;154;45;277;156;123
padres;1823;199.943;80.405;759;381;683;134;201;280;325;240;263;380
balon;665;177.128;46.393;411;60;194;44;53;153;162;91;93;69
capital;3982;511.719;541.805;1565;740;1677;550;344;1729;295;226;167;671
aprovechar;550;72.968;19.260;240;101;209;63;82;81;119;65;70;70
esperanza;2110;246.447;118.345;911;431;768;291;155;379;292;263;212;518
gonzalez;993;164.912;75.008;437;141;415;56;242;120;202;103;62;208
andan;874;140.905;72.223;382;129;363;120;129;105;25;231;63;201
ingles;2028;203.590;121.026;788;441;799;465;266;222;441;250;257;127
diciembre;4049;706.281;289.827;1498;581;1970;471;443;1039;536;445;210;905
anyos;20440;2414.063;377.202;8642;4077;7721;3052;2729;3175;3132;2442;2476;3434
luces;863;112.873;35.312;334;159;370;89;97;180;163;127;107;100
antonio;1704;271.199;103.216;855;316;533;78;310;185;377;219;200;335
;-);1778;145.926;376.828;761;515;502;126;168;63;1100;57;71;193
jugar;4970;570.264;286.704;2136;1026;1808;1067;463;590;513;421;1108;808
milagros;519;80.181;59.594;210;81;228;92;42;60;22;33;198;72
tienes;10295;1219.839;641.244;3836;2061;4398;264;1003;1476;2125;1708;1807;1912
sexy;936;123.746;68.997;321;184;431;56;95;149;98;125;273;140
buscan;771;102.313;48.835;321;139;311;89;59;123;72;115;105;208
cancion;7555;826.655;435.135;2660;1630;3265;677;1074;1812;761;1008;1517;706
trabajos;1066;166.944;70.104;326;205;535;84;111;154;149;87;200;281
chica;2260;254.449;128.795;811;475;974;436;315;132;441;270;462;204
#twitter;567;174.519;47.290;388;62;117;40;112;51;164;52;106;42
#facebook;586;147.188;66.146;356;67;163;22;99;43;182;40;165;35
algunos;3402;507.526;74.764;1540;565;1297;456;559;449;542;346;534;516
vere;966;94.694;63.129;384;213;369;35;204;107;117;148;224;131
vas;8410;1059.604;502.576;2976;1668;3766;2076;505;906;1536;1192;1247;948
contenido;527;80.214;25.837;233;84;210;28;103;78;102;62;84;70
ella;10814;1083.662;308.442;3990;2381;4443;1707;1130;2083;1368;1332;1617;1577
estres;885;58.643;58.543;270;253;362;62;120;118;112;236;163;74
llegada;642;73.082;25.870;289;143;210;66;79;101;108;64;87;137
justicia;3066;390.578;266.423;1472;771;823;376;327;520;265;259;311;1008
cinco;1468;192.191;76.459;586;268;614;191;101;238;350;162;205;221
edicion;1660;347.231;102.777;484;246;930;104;149;182;337;394;253;241
respirar;620;87.523;15.725;167;146;307;108;58;94;86;99;91;84
profesional;1419;266.811;63.503;595;167;657;98;277;168;269;170;202;235
@leopoldolopez;573;63.663;166.518;235;118;220;17;13;49;19;0;17;458
disenyos;567;199.572;85.319;104;46;417;5;67;32;72;75;50;266
coyoacan;2076;589.290;767.495;1326;161;589;4;4;23;6;2037;2;0
actividades;885;157.953;58.157;275;148;462;66;130;109;119;167;64;230
alvaro;853;128.438;117.485;398;145;310;24;161;129;111;359;30;39
comer;7391;847.034;288.132;2610;1553;3228;1182;1028;663;983;1603;1022;910
repente;639;56.321;30.462;227;151;261;85;57;78;141;120;62;96
wtf;653;80.414;41.708;235;130;288;65;97;57;54;148;153;79
ud;1999;328.769;242.795;1013;359;627;148;407;743;35;126;165;375
ciencias;870;112.054;119.236;384;166;320;41;51;46;73;306;290;63
pierda;574;94.002;20.199;231;84;259;75;62;120;77;93;62;85
vip;833;135.832;39.707;295;134;404;99;90;90;162;183;82;127
tomate;623;72.155;42.383;240;125;258;107;108;55;167;50;53;83
sabia;2823;282.331;48.452;1102;615;1106;475;400;343;425;405;434;341
rumbo;2056;343.777;80.923;1015;329;712;172;239;391;253;311;394;296
@biobio;972;190.596;354.639;317;137;518;5;943;2;0;3;17;2
lara;1097;249.147;313.392;530;79;488;41;21;21;64;65;19;866
digital;1404;213.909;112.590;591;221;592;93;214;141;374;180;324;78
mereces;969;111.369;86.523;294;229;446;118;78;119;332;115;106;101
wars;1295;241.835;112.380;639;166;490;90;362;159;231;290;72;91
luis;3550;571.010;239.672;1687;563;1300;202;464;429;365;799;422;869
diaz;1223;245.457;93.921;567;125;531;126;232;305;158;63;76;263
dejan;2050;202.401;50.111;726;463;861;321;219;346;236;296;287;345
ricos;896;124.981;57.954;330;161;405;76;178;98;92;96;120;236
birthday;837;66.686;39.761;317;202;318;55;123;146;96;169;152;96
@jandastore;535;308.882;202.211;0;0;535;0;0;535;0;0;0;0
tio;2520;326.018;305.315;1044;464;1012;257;304;205;1038;146;334;236
@gustavoduquec;844;487.284;319.002;0;0;844;0;0;0;0;0;0;844
uc;528;142.717;179.003;340;80;108;5;481;3;1;3;12;23
andar;1698;195.471;104.806;614;351;733;315;370;195;123;367;160;168
trabajan;516;66.573;28.082;220;96;200;59;75;92;33;60;75;122
apertura;512;92.722;19.937;256;72;184;58;58;86;68;49;91;102
alc;783;433.902;288.469;762;6;15;0;3;1;10;2;1;766
vives;724;80.984;50.576;293;148;283;24;79;178;92;94;102;155
reloj;663;90.537;22.433;257;118;288;91;91;119;116;108;54;84
entra;1543;224.538;69.260;603;259;681;262;140;187;345;180;181;248
cristo;1032;209.716;120.320;543;125;364;43;61;170;102;81;182;393
sentimientos;1343;131.766;77.096;438;321;584;141;99;309;112;228;244;210
llame;655;80.164;26.714;246;128;281;140;107;97;80;56;99;76
ponen;1933;251.214;62.486;761;356;816;382;176;239;278;301;288;269
#trip;619;43.822;72.295;194;170;255;199;85;38;16;93;169;19
gabriel;801;105.698;68.855;331;145;325;51;77;147;33;181;95;217
mira;6351;636.425;234.643;2438;1384;2529;1333;934;753;1104;689;768;770
triste;4802;415.341;193.971;1719;1139;1944;583;481;977;500;795;596;870
pedo;1983;391.715;434.036;646;277;1060;965;40;17;49;869;37;6
paso;12535;1491.109;426.152;5253;2476;4806;2496;2147;1677;1267;1377;1727;1844
derrota;780;188.947;78.799;464;91;225;131;47;105;89;49;82;277
proposito;755;96.028;45.940;313;141;301;79;84;158;40;113;109;172
movimiento;852;137.328;56.332;409;137;306;58;125;124;107;101;98;239
descanso;1495;209.743;71.335;702;283;510;158;261;249;331;147;138;211
estadio;3225;632.070;219.442;1691;428;1106;280;747;545;196;679;529;249
sushi;1395;135.724;170.021;486;320;589;86;531;162;85;320;150;61
cuando;56219;5874.562;1098.919;20381;12219;23619;8829;5784;8168;7505;8601;8408;8924
siiii;1063;106.514;68.979;239;375;449;182;280;102;117;164;152;66
pago;1464;152.207;84.383;621;322;521;221;194;179;138;147;196;389
dc;643;113.993;68.407;341;120;182;24;136;217;44;70;40;112
caballero;719;112.269;50.487;284;112;323;32;123;196;94;70;98;106
#nature;570;91.033;25.330;292;117;161;111;106;95;53;60;53;92
muero;3161;361.255;210.673;745;965;1451;699;343;250;412;639;646;172
pasando;3179;356.090;85.251;1295;650;1234;514;415;390;498;376;385;601
#gracias;621;87.932;52.031;279;109;233;39;70;70;201;83;90;68
terminar;3298;340.572;137.479;1342;710;1246;734;461;421;345;500;517;320
animo;2534;332.085;216.833;1091;467;976;181;764;342;509;376;179;183
inicio;3182;584.264;300.059;1523;404;1255;173;276;533;146;650;413;991
marketing;814;45.236;83.322;319;229;266;26;101;78;267;122;177;43
clima;1552;197.599;110.139;580;296;676;219;185;258;56;402;287;145
aman;761;95.002;64.616;145;321;295;95;50;96;60;91;244;125
ire;1443;141.446;128.468;508;328;607;92;310;122;115;254;430;120
decirte;1004;95.521;40.816;303;259;442;181;62;150;157;144;182;128
with;10502;1289.056;594.807;4471;2038;3993;510;1279;2094;1524;1320;1436;2339
medicos;588;76.394;46.922;222;110;256;34;70;72;125;42;78;167
@lucianopereyra;958;549.637;359.887;2;954;2;3;0;0;0;0;953;2
mis;32055;2679.075;689.891;11063;7837;13155;3637;4061;4988;4098;5675;4844;4752
pasar;6608;562.658;135.236;2482;1555;2571;1155;834;826;1079;836;1007;871
demas;4135;493.474;165.458;1708;811;1616;469;381;769;592;563;512;849
];8435;1305.686;455.268;3207;1354;3874;2000;1446;1275;1001;618;1285;810
preparados;512;88.115;45.561;218;69;225;40;47;75;161;32;54;103
lindo;10322;1018.610;1517.007;2462;3365;4495;4602;1720;1406;111;469;1579;435
energias;560;57.848;45.284;236;123;201;38;145;119;30;42;77;109
album;2219;375.303;148.656;768;351;1100;85;279;495;371;289;491;209
duda;3288;473.034;186.997;1337;551;1400;315;302;459;802;587;296;527
vio;961;130.082;45.010;409;171;381;202;142;145;55;112;155;150
poquito;2740;219.523;138.328;879;713;1148;464;344;322;676;341;318;275
concepcion;901;195.270;263.959;444;78;379;37;727;22;23;27;21;44
bellavista;607;110.799;141.184;283;76;248;4;334;7;8;4;246;4
than;598;105.006;34.520;305;95;198;52;56;74;102;136;122;56
maximo;2139;179.886;117.230;743;520;876;166;292;335;267;204;525;350
b;4058;643.430;265.470;1618;619;1821;609;1152;550;476;484;440;347
vidal;587;121.006;74.318;316;74;197;155;212;35;89;10;58;28
debes;1886;251.448;94.690;694;351;841;137;252;261;188;269;404;375
rojas;616;119.776;49.031;301;71;244;63;183;86;48;47;68;121
mujeres;5289;512.934;252.071;1879;1202;2208;437;543;1144;680;911;626;948
hogar;1899;231.864;137.373;878;417;604;86;372;299;108;229;453;352
confianza;1491;150.330;63.066;632;335;524;178;148;307;159;178;239;282
amazing;681;97.617;54.857;332;139;210;40;69;105;194;95;136;42
canya;559;76.631;77.450;226;98;235;14;206;63;169;13;26;68
informe;694;110.555;14.758;351;133;210;89;118;119;87;97;102;82
salieron;504;71.127;41.008;205;86;213;151;72;56;14;60;70;81
cultura;2468;293.105;127.892;1028;487;953;191;335;534;354;509;245;300
coming;612;88.831;37.443;270;103;239;48;83;108;156;64;98;55
llamadas;586;65.615;25.447;240;120;226;48;70;111;80;113;102;62
19;2298;377.742;104.377;851;353;1094;271;323;322;526;230;233;393
suenyo;9400;907.097;261.384;2970;2319;4111;1631;1338;1314;991;1375;1691;1060
relacion;1649;217.054;56.800;588;316;745;169;200;313;184;248;305;230
sigamos;660;102.059;68.815;224;116;320;65;55;75;59;55;106;245
tip;653;117.628;97.250;353;160;140;46;105;31;53;295;117;6
colega;609;86.157;40.813;286;114;209;52;124;113;128;40;40;112
caribe;921;111.727;132.205;370;178;373;48;64;384;69;39;70;247
oaxaca;597;194.569;195.520;423;72;102;33;2;1;16;528;10;7
jugando;2467;412.264;90.310;1187;375;905;486;412;329;249;247;419;325
escuchado;639;70.164;28.634;252;132;255;35;124;86;108;87;110;89
sorpresas;876;89.605;44.066;319;192;365;43;96;174;158;127;129;149
dejaron;948;113.027;44.245;411;191;346;184;151;144;65;109;108;187
vuelto;1057;118.492;96.998;442;218;397;62;109;130;356;93;175;132
